year_film,year_ceremony,ceremony,category,name,film,win,Gross,Date,Runtime,Awards,nominations,imdb,tomato,Metacr,imdbVotes,Documentary,Thriller,Short,Comedy,Fantasy,Animation,Mystery,Music,Biography,Drama,Western,Sci-Fi,Musical,History,Action,Crime,Romance,Family,Adventure,Sport,Horror,War
1976,1977,49,ACTRESS IN A LEADING ROLE,Marie-Christine Barrault,Cousin Cousine,False,22026369.0,Jul,95,5.0,6.0,6.8,85.8449111470113,77.40287769784173,1372.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1976,1977,49,ACTRESS IN A LEADING ROLE,Faye Dunaway,Network,True,23689877.0,Nov,121,16.0,26.0,8.1,92.0,83.0,136218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976,1977,49,ACTRESS IN A LEADING ROLE,Talia Shire,Rocky,False,117235147.0,Dec,120,17.0,21.0,8.1,94.0,70.0,488467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1976,1977,49,ACTRESS IN A LEADING ROLE,Sissy Spacek,Carrie,False,33800000.0,Nov,98,3.0,5.0,7.4,92.0,85.0,158320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1976,1977,49,ACTRESS IN A LEADING ROLE,Liv Ullmann,Face to Face,False,923418.0,Apr,114,8.0,3.0,7.6,80.0,68.0,4458.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1977,1978,50,ACTRESS IN A LEADING ROLE,Anne Bancroft,The Turning Point,False,25933445.0,Nov,119,11.0,7.0,6.9,61.0,68.0,3969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1977,1978,50,ACTRESS IN A LEADING ROLE,Jane Fonda,Julia,False,20714400.0,Jan,117,18.0,24.0,7.2,74.0,58.0,8264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1977,1978,50,ACTRESS IN A LEADING ROLE,Diane Keaton,Annie Hall,True,38251425.0,Apr,93,26.0,8.0,8.0,97.0,92.0,241420.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1977,1978,50,ACTRESS IN A LEADING ROLE,Shirley MacLaine,The Turning Point,False,25933445.0,Nov,119,11.0,7.0,6.9,61.0,68.0,3969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1977,1978,50,ACTRESS IN A LEADING ROLE,Marsha Mason,The Goodbye Girl,False,59866942.41791045,Nov,111,9.0,9.0,7.4,83.0,64.0,11692.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1978,1979,51,ACTRESS IN A LEADING ROLE,Ingrid Bergman,Autumn Sonata,False,59866942.41791045,Oct,99,10.0,6.0,8.3,84.0,77.40287769784173,21764.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1978,1979,51,ACTRESS IN A LEADING ROLE,Ellen Burstyn,Same Time Next Year,False,19703082.0,Mar,119,1.0,3.0,7.2,40.0,77.40287769784173,5323.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1978,1979,51,ACTRESS IN A LEADING ROLE,Jill Clayburgh,An Unmarried Woman,False,59866942.41791045,May,124,6.0,14.0,7.1,91.0,77.40287769784173,4227.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1978,1979,51,ACTRESS IN A LEADING ROLE,Jane Fonda,Coming Home,True,32653905.0,Feb,127,11.0,14.0,7.3,82.0,61.0,11606.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1978,1979,51,ACTRESS IN A LEADING ROLE,Geraldine Page,Interiors,False,10432366.0,Oct,92,9.0,11.0,7.4,79.0,67.0,17001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979,1980,52,ACTRESS IN A LEADING ROLE,Jill Clayburgh,Starting Over,False,35649012.0,Oct,105,0.0,5.0,6.4,100.0,64.0,2189.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1979,1980,52,ACTRESS IN A LEADING ROLE,Sally Field,Norma Rae,True,22228000.0,Mar,114,10.0,6.0,7.3,88.0,61.0,9666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979,1980,52,ACTRESS IN A LEADING ROLE,Jane Fonda,The China Syndrome,False,51718367.0,Mar,122,7.0,11.0,7.4,84.0,81.0,25143.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979,1980,52,ACTRESS IN A LEADING ROLE,Marsha Mason,Chapter Two,False,59866942.41791045,Aug,124,0.0,2.0,6.0,50.0,77.40287769784173,920.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1979,1980,52,ACTRESS IN A LEADING ROLE,Bette Midler,The Rose,False,29174648.0,Nov,125,5.0,8.0,7.0,76.0,67.0,7489.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
