year_film,year_ceremony,ceremony,category,name,film,win,Gross,Date,Runtime,Awards,nominations,imdb,tomato,Metacr,imdbVotes,Documentary,Thriller,Short,Comedy,Fantasy,Animation,Mystery,Music,Biography,Drama,Western,Sci-Fi,Musical,History,Action,Crime,Romance,Family,Adventure,Sport,Horror,War
1976,1977,49,BEST PICTURE,Walter Coblenz Producer,All the Presidents Men,False,70600000.0,Apr,138,13.0,21.0,8.0,93.0,80.0,95805.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976,1977,49,BEST PICTURE,Robert F Blumofe and Harold Leventhal Producers,Bound for Glory,False,59866942.41791045,Dec,147,4.0,11.0,7.3,86.0,70.0,4389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976,1977,49,BEST PICTURE,Howard Gottfried Producer,Network,False,23689877.0,Nov,121,16.0,26.0,8.1,92.0,83.0,136218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976,1977,49,BEST PICTURE,Irwin Winkler and Robert Chartoff Producers,Rocky,True,117235147.0,Dec,120,17.0,21.0,8.1,94.0,70.0,488467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1976,1977,49,BEST PICTURE,Michael Phillips and Julia Phillips Producers,Taxi Driver,False,28262574.0,Feb,114,21.0,15.0,8.3,97.0,94.0,669940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1977,1978,50,BEST PICTURE,Charles H Joffe Producer,Annie Hall,True,38251425.0,Apr,93,26.0,8.0,8.0,97.0,92.0,241420.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1977,1978,50,BEST PICTURE,Ray Stark Producer,The Goodbye Girl,False,59866942.41791045,Nov,111,9.0,9.0,7.4,83.0,64.0,11692.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1977,1978,50,BEST PICTURE,Richard Roth Producer,Julia,False,20714400.0,Jan,117,18.0,24.0,7.2,74.0,58.0,8264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1977,1978,50,BEST PICTURE,Gary Kurtz Producer,Star Wars,False,460998507.0,May,121,52.0,28.0,8.6,93.0,90.0,1170893.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1977,1978,50,BEST PICTURE,Herbert Ross and Arthur Laurents Producers,The Turning Point,False,25933445.0,Nov,119,11.0,7.0,6.9,61.0,68.0,3969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1978,1979,51,BEST PICTURE,Jerome Hellman Producer,Coming Home,False,32653905.0,Feb,127,11.0,14.0,7.3,82.0,61.0,11606.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
