year_film,year_ceremony,ceremony,category,name,film,win,Gross,Date,Runtime,Awards,nominations,imdb,tomato,Metacr,imdbVotes,Documentary,Thriller,Short,Comedy,Fantasy,Animation,Mystery,Music,Biography,Drama,Western,Sci-Fi,Musical,History,Action,Crime,Romance,Family,Adventure,Sport,Horror,War
1976,1977,49,DIRECTING,Alan J Pakula,All the Presidents Men,False,70600000.0,Apr,138,13.0,21.0,8.0,93.0,80.0,95805.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976,1977,49,DIRECTING,Ingmar Bergman,Face to Face,False,923418.0,Apr,114,8.0,3.0,7.6,80.0,68.0,4458.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976,1977,49,DIRECTING,Sidney Lumet,Network,False,23689877.0,Nov,121,16.0,26.0,8.1,92.0,83.0,136218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976,1977,49,DIRECTING,John G Avildsen,Rocky,True,117235147.0,Dec,120,17.0,21.0,8.1,94.0,70.0,488467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1976,1977,49,DIRECTING,Lina Wertm체ller,Seven Beauties,False,12408.0,Jan,116,2.0,5.0,7.8,80.0,77.40287769784173,4487.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1977,1978,50,DIRECTING,Woody Allen,Annie Hall,True,38251425.0,Apr,93,26.0,8.0,8.0,97.0,92.0,241420.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1977,1978,50,DIRECTING,Steven Spielberg,Close Encounters of the Third Kind,False,135189114.0,Dec,138,14.0,38.0,7.6,95.0,90.0,173342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1977,1978,50,DIRECTING,Fred Zinnemann,Julia,False,20714400.0,Jan,117,18.0,24.0,7.2,74.0,58.0,8264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1977,1978,50,DIRECTING,George Lucas,Star Wars,False,460998507.0,May,121,52.0,28.0,8.6,93.0,90.0,1170893.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1977,1978,50,DIRECTING,Herbert Ross,The Turning Point,False,25933445.0,Nov,119,11.0,7.0,6.9,61.0,68.0,3969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1978,1979,51,DIRECTING,Hal Ashby,Coming Home,False,32653905.0,Feb,127,11.0,14.0,7.3,82.0,61.0,11606.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1978,1979,51,DIRECTING,Michael Cimino,The Deer Hunter,True,48979328.0,Feb,183,17.0,26.0,8.1,93.0,86.0,293358.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1978,1979,51,DIRECTING,Warren Beatty Buck Henry,Heaven Can Wait,False,81640278.0,Jun,101,8.0,13.0,6.9,89.0,72.0,17346.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1978,1979,51,DIRECTING,Woody Allen,Interiors,False,10432366.0,Oct,92,9.0,11.0,7.4,79.0,67.0,17001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1978,1979,51,DIRECTING,Alan Parker,Midnight Express,False,35000000.0,Oct,121,14.0,14.0,7.6,96.0,59.0,68427.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1979,1980,52,DIRECTING,Bob Fosse,All That Jazz,False,37823676.0,Dec,123,7.0,14.0,7.9,85.0,72.0,25364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979,1980,52,DIRECTING,Francis Coppola,Apocalypse Now,False,83471511.0,Aug,147,18.0,31.0,8.4,98.0,94.0,568102.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1979,1980,52,DIRECTING,Peter Yates,Breaking Away,False,16424918.0,Jul,101,10.0,14.0,7.7,94.0,91.0,20606.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
